asset_id	reference_type	relative_path	url	checksum_algorithm	checksum	size	etag	reference_path	companion	source_format	ancestry	version
panel_chr6	imputation_panel	panel/chr6.1kg.phase3.v5a.b37.bref3	https://bochet.gcc.biostat.washington.edu/beagle/1000_Genomes_phase3_v5a/b37.bref3/chr6.1kg.phase3.v5a.b37.bref3	sha256	3076bc2db3f3c148ffe7b69b3f1794fdde78498825e1e2636b6f277a33b28056	433180692		panel		bref3_directory	European	1000G-phase3-v5a
panel_chr7	imputation_panel	panel/chr7.1kg.phase3.v5a.b37.bref3	https://bochet.gcc.biostat.washington.edu/beagle/1000_Genomes_phase3_v5a/b37.bref3/chr7.1kg.phase3.v5a.b37.bref3	sha256	944e2ce955780c32948a197c54e902ddf97caa5fb114e23090eb23242d277805	401538411		panel		bref3_directory	European	1000G-phase3-v5a
panel_chr8	imputation_panel	panel/chr8.1kg.phase3.v5a.b37.bref3	https://bochet.gcc.biostat.washington.edu/beagle/1000_Genomes_phase3_v5a/b37.bref3/chr8.1kg.phase3.v5a.b37.bref3	sha256	1ff6bde256470e20efcf12c2393a07b3dae13015f97182fc8d47d4fbbf958fe8	374379298		panel		bref3_directory	European	1000G-phase3-v5a
panel_chr9	imputation_panel	panel/chr9.1kg.phase3.v5a.b37.bref3	https://bochet.gcc.biostat.washington.edu/beagle/1000_Genomes_phase3_v5a/b37.bref3/chr9.1kg.phase3.v5a.b37.bref3	sha256	232da4adcec62b739fee108a806392e4ac18705dee0a0de1e85e2d24c4a2e11e	304107685		panel		bref3_directory	European	1000G-phase3-v5a
panel_chr10	imputation_panel	panel/chr10.1kg.phase3.v5a.b37.bref3	https://bochet.gcc.biostat.washington.edu/beagle/1000_Genomes_phase3_v5a/b37.bref3/chr10.1kg.phase3.v5a.b37.bref3	sha256	06da30da724b0b78b5f019124d10a88aa45c7a41a60357f9a6a6b59253a97d94	341429691		panel		bref3_directory	European	1000G-phase3-v5a
panel_chr11	imputation_panel	panel/chr11.1kg.phase3.v5a.b37.bref3	https://bochet.gcc.biostat.washington.edu/beagle/1000_Genomes_phase3_v5a/b37.bref3/chr11.1kg.phase3.v5a.b37.bref3	sha256	a05d978751b511aef8bc33b4a164d6f4b6b2243e1cc9dca676772208267dfe67	332474064		panel		bref3_directory	European	1000G-phase3-v5a
panel_chr12	imputation_panel	panel/chr12.1kg.phase3.v5a.b37.bref3	https://bochet.gcc.biostat.washington.edu/beagle/1000_Genomes_phase3_v5a/b37.bref3/chr12.1kg.phase3.v5a.b37.bref3	sha256	15e832382b5e35f7ea8b7ea9f46cacebac94a99f2eb74c56bc1de152224fda34	327714054		panel		bref3_directory	European	1000G-phase3-v5a
panel_chr13	imputation_panel	panel/chr13.1kg.phase3.v5a.b37.bref3	https://bochet.gcc.biostat.washington.edu/beagle/1000_Genomes_phase3_v5a/b37.bref3/chr13.1kg.phase3.v5a.b37.bref3	sha256	f9f160980484ac9c7da1f167eaf3d494962079c46ed86dd123c3cccba1405a71	241320879		panel		bref3_directory	European	1000G-phase3-v5a
panel_chr14	imputation_panel	panel/chr14.1kg.phase3.v5a.b37.bref3	https://bochet.gcc.biostat.washington.edu/beagle/1000_Genomes_phase3_v5a/b37.bref3/chr14.1kg.phase3.v5a.b37.bref3	sha256	ec6a3d3cdb23d6bc4e3f19546ba41f6b895938bbbd86ef94235d1e41694d4364	225355199		panel		bref3_directory	European	1000G-phase3-v5a
panel_chr15	imputation_panel	panel/chr15.1kg.phase3.v5a.b37.bref3	https://bochet.gcc.biostat.washington.edu/beagle/1000_Genomes_phase3_v5a/b37.bref3/chr15.1kg.phase3.v5a.b37.bref3	sha256	6e6e171a044d6006c6c6260095cb4d0139fe869a8e306833f68442b1f9286b47	211304618		panel		bref3_directory	European	1000G-phase3-v5a
panel_chr16	imputation_panel	panel/chr16.1kg.phase3.v5a.b37.bref3	https://bochet.gcc.biostat.washington.edu/beagle/1000_Genomes_phase3_v5a/b37.bref3/chr16.1kg.phase3.v5a.b37.bref3	sha256	effbd0f6bd9dc20cefa17bb7bc91a9486863cc93d0de375bbad5629db7fdae9d	229911351		panel		bref3_directory	European	1000G-phase3-v5a
panel_chr17	imputation_panel	panel/chr17.1kg.phase3.v5a.b37.bref3	https://bochet.gcc.biostat.washington.edu/beagle/1000_Genomes_phase3_v5a/b37.bref3/chr17.1kg.phase3.v5a.b37.bref3	sha256	4aa241d5692c1034f30f233611e053fc63a4df43e3b2f2968f9d7b0c87cefe79	202099645		panel		bref3_directory	European	1000G-phase3-v5a
panel_chr18	imputation_panel	panel/chr18.1kg.phase3.v5a.b37.bref3	https://bochet.gcc.biostat.washington.edu/beagle/1000_Genomes_phase3_v5a/b37.bref3/chr18.1kg.phase3.v5a.b37.bref3	sha256	a006737a2d0173c6e30e3053ca441a3a32cb84604a86c1d86be0786565c74e23	194061409		panel		bref3_directory	European	1000G-phase3-v5a
panel_chr19	imputation_panel	panel/chr19.1kg.phase3.v5a.b37.bref3	https://bochet.gcc.biostat.washington.edu/beagle/1000_Genomes_phase3_v5a/b37.bref3/chr19.1kg.phase3.v5a.b37.bref3	sha256	ed4b323d4b1faae1c7f3daed97f259ab0d8642ade001c2565bd6f860b26a03ec	171004256		panel		bref3_directory	European	1000G-phase3-v5a
panel_chr20	imputation_panel	panel/chr20.1kg.phase3.v5a.b37.bref3	https://bochet.gcc.biostat.washington.edu/beagle/1000_Genomes_phase3_v5a/b37.bref3/chr20.1kg.phase3.v5a.b37.bref3	sha256	5eba2a97065d12a95a9ffda1b6715a3443e3c145aa33f5e4609a6925ad9aa63d	153844474		panel		bref3_directory	European	1000G-phase3-v5a
panel_chr21	imputation_panel	panel/chr21.1kg.phase3.v5a.b37.bref3	https://bochet.gcc.biostat.washington.edu/beagle/1000_Genomes_phase3_v5a/b37.bref3/chr21.1kg.phase3.v5a.b37.bref3	sha256	96b424bd787425c70a60fdafe92b246803c3000013931613bf3eabd24b4ab3de	100843132		panel		bref3_directory	European	1000G-phase3-v5a
panel_chr22	imputation_panel	panel/chr22.1kg.phase3.v5a.b37.bref3	https://bochet.gcc.biostat.washington.edu/beagle/1000_Genomes_phase3_v5a/b37.bref3/chr22.1kg.phase3.v5a.b37.bref3	sha256	ad95694bf54ba427df3dbd7b7ec74098d88fc984a99dfa1f4c612aca6cac2092	104221013		panel		bref3_directory	European	1000G-phase3-v5a
population_panel	population_panel	metadata/integrated_call_samples_v3.20130502.ALL.panel	https://bochet.gcc.biostat.washington.edu/beagle/1000_Genomes_phase3_v5a/sample_info/integrated_call_samples_v3.20130502.ALL.panel	sha256	b4023dc6ee2d62ee89c8d4d347db4d348e65518d66d346574cdae7a4bbd76858	55156		metadata/integrated_call_samples_v3.20130502.ALL.panel		panel	European	1000G-phase3-v5a
related_samples	related_samples	metadata/20140625_related_individuals.txt	https://bochet.gcc.biostat.washington.edu/beagle/1000_Genomes_phase3_v5a/sample_info/20140625_related_individuals.txt	sha256	359d59d1263c208fe8876817cc1ddc98aa3096c2c2212d3e13fdfb92b25ece3d	1168		metadata/20140625_related_individuals.txt		txt	European	1000G-phase3-v5a
sbayesrc_ld	sbayesrc_ld_source	sbayesrc/ukbEUR_Imputed.zip	https://gctbhub.cloud.edu.au/data/SBayesRC/resources/v2.0/LD/Imputed/ukbEUR_Imputed.zip			57939878464	6430f1f5-d7d7c6240	sbayesrc/ukbEUR_Imputed.zip		zip	European	SBayesRC-v2.0-imputed
sbayesrc_annotation	annotation_source	sbayesrc/annot_baseline2.2.zip	https://gctbhub.cloud.edu.au/data/SBayesRC/resources/v2.0/Annotation/annot_baseline2.2.zip	sha256	f26b629aba40b760acaedca7006b2175e2e6e98f6be91d690270c76655bb388b	307548449		sbayesrc/annot_baseline2.2.zip		zip	European	BaselineLD-v2.2
beagle_jar	beagle_jar	tools/beagle.27Feb25.75f.jar	https://faculty.washington.edu/browning/beagle/beagle.27Feb25.75f.jar	sha256	7319f4af9638be05c18dcc1bfb8fb41a58a09293507ebf0d54617d0e40df5a70	316844		tools/beagle.27Feb25.75f.jar		jar	All	27Feb25.75f
unbref3_jar	unbref3_jar	tools/unbref3.27Feb25.75f.jar	https://faculty.washington.edu/browning/beagle/unbref3.27Feb25.75f.jar	sha256	db8998ff212b19f72fd0e36e8cd9ef9b4e414d6a6c295fe89ee77858970cfb4a	95110		tools/unbref3.27Feb25.75f.jar		jar	All	27Feb25.75f
